name, ra, dec, i_ha, g_sb, irdc_flag, darkest_wham_flag
grid001 ,  0.6128809295393534 ,  -34.39606465789569 , 0.19805467 , 24.535823386977988 , False ,  False
grid002 ,  2.0173542945760805 ,  -1.992013667613692 , 0.20430438 , 23.30202392942794 , False ,  False
grid003 ,  2.0616410493379766 ,  -34.65168888274344 , 0.15876262 , 26.419426721404868 , False ,  True
grid004 ,  2.35397660706006 ,  -74.37309739962373 , 0.7597378 , 23.275483173202353 , False ,  False
grid005 ,  3.223923952197792 ,  1.1273851201657448 , 0.22492507 , 26.539983075927573 , False ,  False
grid006 ,  5.513363489697585 ,  -16.328698928027645 , 0.21992186 , 26.622990888427573 , False ,  False
grid007 ,  6.342119239606079 ,  -39.62321447876605 , 0.24003041 , 23.714616817306357 , False ,  False
grid008 ,  6.659257710963646 ,  25.19146830941656 , 0.49448037 , 23.66245202429183 , False ,  False
grid009 ,  7.281015578644021 ,  45.72511292130038 , 1.6137321 , 19.33706097013839 , False ,  False
grid010 ,  7.337020751922163 ,  16.71549309344006 , 0.5359208 , 23.766874593566733 , False ,  False
grid011 ,  7.546108448326952 ,  9.036561726091332 , 0.41712946 , 24.482824128936606 , False ,  False
grid012 ,  8.550133274473783 ,  46.63852738919826 , 2.1156456 , 22.50327519781478 , False ,  False
grid013 ,  9.099405629918449 ,  3.2455050524001896 , 0.19930969 , 23.24489526159652 , False ,  False
grid014 ,  9.202628314100007 ,  36.468622852329304 , 1.5331075 , 24.13117341406234 , False ,  False
grid015 ,  11.279546013307323 ,  26.36054347865938 , 0.7292249 , 24.224037450622397 , False ,  False
grid016 ,  11.711037813278764 ,  44.194067662636115 , 1.7571206 , 23.08531455404647 , False ,  False
grid017 ,  12.060701299217373 ,  -69.5950184000023 , 0.2570017 , 22.890209478210288 , False ,  False
grid018 ,  12.321596323537705 ,  -23.73261151176519 , 0.18346448 , 26.719807905029135 , False ,  False
grid019 ,  12.537706474658028 ,  0.06952028042321463 , 0.17799671 , 27.11516074545272 , False ,  False
grid020 ,  12.85117026691859 ,  -21.147466042421897 , 0.1879927 , 26.606061977218467 , False ,  False
grid021 ,  13.05830974948033 ,  50.14210009098246 , 4.04897 , 22.508328479598838 , False ,  False
grid022 ,  14.420170507644317 ,  31.45277319692432 , 1.0736815 , 23.048512262176352 , False ,  False
grid023 ,  14.718421771385417 ,  6.814292849990545 , 0.28162804 , 23.019127172302085 , False ,  False
grid024 ,  15.236370621540727 ,  -19.762730189567847 , 0.22760315 , 26.151806634734946 , False ,  False
grid025 ,  15.65670695042013 ,  26.314196053530342 , 0.6210554 , 22.9033689916838 , False ,  False
grid026 ,  16.35759769185349 ,  -24.235355780641836 , 0.17858353 , 24.712342542480307 , False ,  False
grid027 ,  16.881220036975094 ,  -16.702047126471072 , 0.29195637 , 25.20646147138961 , False ,  False
grid028 ,  17.2106788889 ,  65.0597272222 , 5.5966444016 , 23.21859411604293 , True ,  False
grid029 ,  17.45028100653343 ,  -36.57074530924404 , 0.18160224 , 25.40998391516097 , False ,  False
grid030 ,  17.467766813030153 ,  37.26625426306708 , 1.5539027 , 23.4658472955931 , False ,  False
grid031 ,  17.738654818718295 ,  -2.060447192728373 , 0.1128631 , 22.920942825149375 , False ,  False
grid032 ,  20.647139842496436 ,  1.6501665514977946 , 0.21657819 , 24.115071815322715 , False ,  False
grid033 ,  20.751635084620382 ,  20.674840491837198 , 0.1897172 , 22.989538234542685 , False ,  False
grid034 ,  20.804529758761273 ,  -70.20969755076756 , 0.504317 , 22.987816852401572 , False ,  False
grid035 ,  22.597205059077545 ,  -46.94573950470909 , 0.15217322 , 28.289051574539023 , False ,  False
grid036 ,  22.969542808974747 ,  -49.620792997226935 , 0.17129178 , 25.95149330503829 , False ,  False
grid037 ,  23.383374518454133 ,  -3.6952272283838883 , 0.21456671 , 23.10422472364791 , False ,  False
grid038 ,  24.296119528674534 ,  -58.40129924685201 , 0.3000345 , 25.31881145841964 , False ,  False
grid039 ,  25.8426772431041 ,  32.752841824548355 , 1.0442535 , 23.14718775160201 , False ,  False
grid040 ,  26.96007054465263 ,  -20.525692927748928 , 0.14500801 , 24.84389118559249 , False ,  False
grid041 ,  27.515620458645138 ,  -13.170410355731768 , 0.16589233 , 26.602620405029135 , False ,  False
grid042 ,  27.624454561197872 ,  -6.853704419631385 , 0.22716142 , 23.716902059387046 , False ,  False
grid043 ,  28.0931347222 ,  66.5571425 , 3.2506203651 , 24.75691847212203 , True ,  False
grid044 ,  28.36293533281895 ,  8.944986954741282 , 0.23779309 , 26.303117793868857 , False ,  False
grid045 ,  28.83069237944139 ,  -25.088025155166054 , 0.4720531 , 26.9677000463713 , False ,  False
grid046 ,  29.01540102104265 ,  40.869091486037526 , 2.011262 , 23.198164027999717 , False ,  False
grid047 ,  30.485291890065376 ,  23.601010868525794 , 0.836163 , 25.510110181640464 , False ,  False
grid048 ,  30.76158835493678 ,  18.061787325601657 , 0.31720147 , 25.09444288618453 , False ,  False
grid049 ,  30.769220593370022 ,  -80.10464303048428 , 1.182183 , 23.868157190154868 , False ,  False
grid050 ,  31.931834585687305 ,  8.26597147190073 , 0.45559394 , 26.651427072357016 , False ,  False
grid051 ,  32.86131691004281 ,  26.418280757643195 , 0.9825563 , 23.901175779174643 , False ,  False
grid052 ,  34.230840890170285 ,  -73.31242665387835 , 0.5053297 , 23.546330255340415 , False ,  False
grid053 ,  34.61097939736113 ,  -4.644018717468404 , 0.39884198 , 25.477570813964682 , False ,  False
grid054 ,  35.93917378557397 ,  -37.734758864942265 , 0.28816578 , 23.842838329147177 , False ,  False
grid055 ,  36.8756316667 ,  61.677275 , 109.1434631348 , 22.314820808242636 , True ,  False
grid056 ,  37.43966376424394 ,  38.59779259190839 , 2.3278282 , 23.80330018408187 , False ,  False
grid057 ,  38.301049699630624 ,  -41.91800816177965 , 0.18254477 , 24.900765937637168 , False ,  False
grid058 ,  38.48606006706736 ,  -56.80785678441832 , 0.3397344 , 23.651071113418418 , False ,  False
grid059 ,  39.32815785032323 ,  35.11326735255993 , 1.6402248 , 23.88123444921859 , False ,  False
grid060 ,  39.47464578817944 ,  30.33355744530618 , 1.2666715 , 22.662770074676352 , False ,  False
grid061 ,  39.484613170992006 ,  -25.928778773649185 , 0.56613034 , 26.548917812179404 , False ,  False
grid062 ,  39.66596972609117 ,  -20.053800121054 , 0.42443168 , 25.965893787216025 , False ,  False
grid063 ,  40.180512419806256 ,  6.116313843585658 , 0.5315684 , 24.575359147857505 , False ,  False
grid064 ,  41.51290661444208 ,  52.21156167351225 , 1.8268205 , 21.970655244659262 , False ,  False
grid065 ,  42.7428330556 ,  69.956915 , 2.8804364204 , 24.872364324401694 , True ,  False
grid066 ,  42.88635367319624 ,  -12.953939432794568 , 0.44696018 , 24.19690541632064 , False ,  False
grid067 ,  42.91543131845095 ,  -4.470550224548726 , 0.6715984 , 25.128050369094687 , False ,  False
grid068 ,  43.108964788375296 ,  -51.15048378314453 , 0.4105809 , 26.46087936766036 , False ,  False
grid069 ,  43.37847874305183 ,  4.614067823089308 , 0.74603677 , 24.843768400024253 , False ,  False
grid070 ,  44.85676619933786 ,  -41.16318286094207 , 0.6610029 , 23.921314996551352 , False ,  False
grid071 ,  46.90668185748232 ,  -11.257040674233782 , 0.9437544 , 24.970404428314048 , False ,  False
grid072 ,  47.2728628553068 ,  -19.80880440135876 , 0.80625236 , 25.792010349105674 , False ,  False
grid073 ,  47.322746446140165 ,  80.89966259997443 , 1.125452 , 22.63691596395858 , False ,  False
grid074 ,  49.265345393298325 ,  17.493950181562443 , 0.6671316 , 23.925549310516196 , False ,  False
grid075 ,  51.2798745437388 ,  7.706471883101826 , 1.7238522 , 23.7389402807463 , False ,  False
grid076 ,  51.781825 ,  58.6838619444 , 11.9767351151 , 24.899789613555747 , True ,  False
grid077 ,  52.689664049327284 ,  -7.572331649444357 , 1.837737 , 24.85018305189498 , False ,  False
grid078 ,  52.98700837294513 ,  -6.463881090881538 , 2.334762 , 23.32729272253402 , False ,  False
grid079 ,  53.3907052778 ,  31.3341963889 , 4.6016640663 , 29.803424400161582 , True ,  False
grid080 ,  53.74244748169143 ,  18.319616660405377 , 0.8325727 , 22.56709150679 , False ,  False
grid081 ,  54.0639269444 ,  31.1777736111 , 5.3818502426 , 30.533674281905967 , True ,  False
grid082 ,  54.5824127778 ,  55.8839427778 , 3.8519165516 , 23.886983913253623 , True ,  False
grid083 ,  54.687067533886804 ,  -56.24241712032926 , 0.7047956 , 23.03818754560836 , False ,  False
grid084 ,  54.8563097222 ,  62.5608916667 , 6.9027051926 , 23.788128417800742 , True ,  False
grid085 ,  55.40612652531247 ,  -71.39208159741435 , 0.8364117 , 23.277829212020713 , False ,  False
grid086 ,  56.404880317178254 ,  -24.53331518696583 , 1.0298378 , 20.178505700897055 , False ,  False
grid087 ,  58.00503515344375 ,  11.821806809950436 , 4.0675254 , 24.395121854614096 , False ,  False
grid088 ,  58.93990142055102 ,  -38.678536321234105 , 0.7142724 , 24.69639830000289 , False ,  False
grid089 ,  59.79060137298804 ,  -26.54863301747314 , 1.4706018 , 24.50837067968734 , False ,  False
grid090 ,  59.99962734590524 ,  -34.6910046600722 , 0.82930416 , 27.395932000945884 , False ,  False
grid091 ,  60.3867130556 ,  41.0869805556 , 7.3368315697 , 24.559377950500327 , True ,  False
grid092 ,  60.99467703370611 ,  -34.30292492772122 , 0.92253745 , 27.016051334213095 , False ,  False
grid093 ,  62.099607822485666 ,  -35.25582330053848 , 0.93275356 , 25.101471465896445 , False ,  False
grid094 ,  64.8415105556 ,  27.2343797222 , 4.4116711617 , 40.0 , True ,  False
grid095 ,  64.8998736111 ,  38.3758694444 , 5.7598228455 , 26.295323890518027 , True ,  False
grid096 ,  65.49022134358682 ,  -2.3499919560672584 , 3.2374892 , 25.177228969405967 , False ,  False
grid097 ,  66.2740972222 ,  54.9448269444 , 12.7703781128 , 26.72862462408431 , True ,  False
grid098 ,  66.99929037777139 ,  -54.160460735418965 , 0.7394413 , 22.940546792816 , False ,  False
grid099 ,  67.0224161111 ,  18.9501577778 , 6.5422315598 , 27.25492052442916 , True ,  False
grid100 ,  67.8483630556 ,  18.1554738889 , 6.5422315598 , 25.50336532003768 , True ,  False
grid101 ,  68.0224163889 ,  46.6467669444 , 3.0738945007 , 25.909219306777793 , True ,  False
grid102 ,  68.7656802778 ,  -14.2470697222 , 5.1906809807 , 23.795544427703696 , True ,  False
grid103 ,  68.81026091096548 ,  -4.639861867130286 , 3.0983267 , 24.32151011831649 , False ,  False
grid104 ,  69.8115861111 ,  25.8757194444 , 2.4797866344 , 40.0 , True ,  False
grid105 ,  70.15549820268113 ,  -28.86025953544314 , 2.0114193 , 23.057470840286094 , False ,  False
grid106 ,  70.15584636285931 ,  -58.03114686697126 , 0.8297787 , 24.392366927932578 , False ,  False
grid107 ,  71.10067116993265 ,  -47.39945146835431 , 0.8522476 , 22.15323023207076 , False ,  False
grid108 ,  71.76178430452562 ,  0.40383561164760773 , 3.8000255 , 23.392123502563315 , False ,  False
grid109 ,  72.35665197887425 ,  -56.326116464647065 , 0.6444697 , 23.109894317458945 , False ,  False
grid110 ,  73.71535978659898 ,  -35.83192481026831 , 1.1735226 , 24.681348127197104 , False ,  False
grid111 ,  74.80502276019 ,  -31.364857168103317 , 2.0576718 , 23.80327395803817 , False ,  False
grid112 ,  75.50799935642225 ,  -21.176178828379847 , 3.651555 , 24.38024453527816 , False ,  False
grid113 ,  76.5761705556 ,  31.7133072222 , 3.9513366222 , 27.80911139852889 , True ,  False
grid114 ,  76.6925958333 ,  -3.3430213889 , 19.7092838287 , 20.368998569320517 , True ,  False
grid115 ,  78.06764542426345 ,  -42.30825944168004 , 1.1007766 , 24.44503478414901 , False ,  False
grid116 ,  78.67517647720332 ,  -48.175581006145094 , 1.1695747 , 25.131795924972373 , False ,  False
grid117 ,  79.6114822222 ,  7.2126983333 , 28.4858036041 , 25.945057195495444 , True ,  False
grid118 ,  81.22253332732721 ,  -60.425655700560895 , 0.85147744 , 23.372873586486655 , False ,  False
grid119 ,  82.40737239360755 ,  -32.73661616065379 , 2.2552893 , 22.672672790359336 , False ,  False
grid120 ,  82.88945064466257 ,  -28.02296505763972 , 3.6692095 , 24.022553485702353 , False ,  False
grid121 ,  83.035375 ,  12.7914519444 , 84.0121841431 , 27.96493224508651 , True ,  False
grid122 ,  85.03663792224178 ,  -42.30446385858752 , 2.634725 , 23.47247413999923 , False ,  False
grid123 ,  85.1799702778 ,  35.91336 , 13.5627002716 , 22.33883551962264 , True ,  False
grid124 ,  85.2567536111 ,  -8.7217861111 , 118.8741226196 , 29.9806075514067 , True ,  False
grid125 ,  85.8003280556 ,  -1.2741197222 , 56.7601661682 , 30.4228465975035 , True ,  False
grid126 ,  86.7492449260334 ,  -27.531006949655733 , 4.263262 , 22.7219086111296 , False ,  False
grid127 ,  87.38459036004868 ,  -53.94896189705542 , 1.7350551 , 24.775138419936972 , False ,  False
grid128 ,  88.22228989990796 ,  -64.72340987996952 , 1.3745807 , 21.43445186025985 , False ,  False
grid129 ,  88.46166472473695 ,  53.49149550193097 , 0.96707857 , 21.5810554445494 , False ,  False
grid130 ,  88.6539188889 ,  1.8058583333 , 61.0726203918 , 28.997115415405112 , True ,  False
grid131 ,  88.66318920273562 ,  -75.83031846815038 , 1.5549124 , 22.27210096723922 , False ,  False
grid132 ,  90.13952418547599 ,  -69.9651632670221 , 0.9632239 , 22.645412010024863 , False ,  False
grid133 ,  90.51327308376855 ,  -37.82675010847252 , 2.9110534 , 22.553808015655356 , False ,  False
grid134 ,  90.6162905556 ,  -9.7231555556 , 19.930437088 , 24.63824800856002 , True ,  False
grid135 ,  91.2117125 ,  30.4444263889 , 7.0351772308 , 22.941982072662192 , True ,  False
grid136 ,  92.0386630556 ,  18.5110161111 , 7.1233177185 , 25.062265914748984 , True ,  False
grid137 ,  93.82790273155169 ,  63.91342183137511 , 1.3297986 , 23.022853654693442 , False ,  False
grid138 ,  94.23319047377566 ,  56.42052382549963 , 0.72195065 , 22.86815695173629 , False ,  False
grid139 ,  94.29509929887116 ,  -38.905577164728776 , 2.9869325 , 23.286060613464194 , False ,  False
grid140 ,  94.5975591129069 ,  85.05061311113155 , 0.81522936 , 24.07619647390731 , False ,  False
grid141 ,  96.8341141667 ,  -10.1748066667 , 20.1394119263 , 24.53160576231368 , True ,  False
grid142 ,  97.5810386111 ,  -9.6310855556 , 21.8742237091 , 24.178625863860923 , True ,  False
grid143 ,  97.70082789088393 ,  -33.80235324260103 , 3.984287 , 22.600768131088095 , False ,  False
grid144 ,  97.83368095483762 ,  -36.5526227686018 , 3.1264412 , 22.61999062902816 , False ,  False
grid145 ,  98.62007132500732 ,  -56.490283669685205 , 2.2571795 , 21.396981996368247 , False ,  False
grid146 ,  100.1788002778 ,  8.9670658333 , 125.1735153198 , 25.27255467779525 , True ,  False
grid147 ,  100.2077908562505 ,  54.65375047440711 , 0.6986874 , 23.083709997009116 , False ,  False
grid148 ,  101.16191287805898 ,  40.77156877843897 , 0.6443106 , 21.844401878188926 , False ,  False
grid149 ,  101.3889814105066 ,  -67.50490765394066 , 1.9149276 , 21.62806801206954 , False ,  False
grid150 ,  101.4771225852202 ,  -49.77619354536092 , 14.792304 , 21.73485092527755 , False ,  False
grid151 ,  103.60042506116903 ,  -16.460027233775566 , 4.9473357 , 21.219548505615073 , False ,  False
grid152 ,  104.28066044600176 ,  73.39344079587276 , 1.2716297 , 24.30300526029952 , False ,  False
grid153 ,  104.85707060611732 ,  38.14326985419131 , 0.95627236 , 23.012147468398886 , False ,  False
grid154 ,  105.64819382999228 ,  -36.27224986307394 , 12.868599 , 22.08746961958297 , False ,  False
grid155 ,  107.5672816667 ,  -10.54477 , 74.8994750977 , 24.01510767347701 , True ,  False
grid156 ,  108.14889756477974 ,  50.22795360532692 , 0.1544488 , 23.594141525100547 , False ,  False
grid157 ,  110.67759665172052 ,  47.113000084750304 , 0.3719393 , 23.42160515196212 , False ,  False
grid158 ,  111.0479536111 ,  -25.8263586111 , 118.526473999 , 22.458274883102256 , True ,  False
grid159 ,  111.57509920204569 ,  17.185470461997024 , 2.866906 , 19.752280634712058 , False ,  False
grid160 ,  112.37787812172714 ,  28.70540624868943 , 2.1020496 , 23.015292209457236 , False ,  False
grid161 ,  113.62785667761118 ,  -2.3226195569739785 , 1.780499 , 19.637232941459494 , False ,  False
grid162 ,  114.51308265136745 ,  -71.55930661920823 , 2.2795577 , 21.8787472666014 , False ,  False
grid163 ,  114.73367748505657 ,  57.34723824065986 , 0.16275269 , 22.88528613455184 , False ,  False
grid164 ,  115.00624057729186 ,  -25.76536236028912 , 14.361285 , 20.405692380737143 , False ,  False
grid165 ,  115.27444055768267 ,  -63.12459850162471 , 4.964593 , 22.358562272857505 , False ,  False
grid166 ,  115.77009269883428 ,  -70.24157095213376 , 3.3793917 , 23.837672990630942 , False ,  False
grid167 ,  115.89269174180723 ,  10.14092941105893 , 2.0639179 , 23.201674741576987 , False ,  False
grid168 ,  116.26470074811068 ,  7.431514691265034 , 1.4538541 , 20.462128442596274 , False ,  False
grid169 ,  116.51729009852687 ,  28.627222184067914 , 1.7310615 , 22.84275583631881 , False ,  False
grid170 ,  117.11512693868657 ,  3.844712870861473 , 1.0561026 , 21.943504136871177 , False ,  False
grid171 ,  118.23452087044306 ,  9.229427246067072 , 1.076008 , 23.356558603118735 , False ,  False
grid172 ,  118.23730722335482 ,  -24.058464074808533 , 14.421481 , 20.630922836135703 , False ,  False
grid173 ,  120.163981999628 ,  44.44964169562191 , 0.74663264 , 22.771086019347983 , False ,  False
grid174 ,  120.35748768902474 ,  3.1067588702943056 , 0.9519953 , 21.631094735931235 , False ,  False
grid175 ,  120.9548159384995 ,  -11.863069008549404 , 2.2401137 , 21.79143003828414 , False ,  False
grid176 ,  120.99647151518792 ,  71.15663809737784 , 0.545311 , 24.432601255248862 , False ,  False
